outcome,scale,split,cell,horizon,spec,tau,tau_bc,se_cl,se_rb,p_rb,ci_l_rb,ci_r_rb,Mean,N,N_l,N_r,h_l,h_r,b_l,b_r
main,level,joint,1,5,2,25.51621420741025,53.28947340391649,44.6255073064876,49.52718983362251,.2819433559402204,-28.1755044266316,134.7544512344646,12.78260869565217,1582,188,168,3.714426971705928,3.714426971705928,7.270037050459912,7.270037050459912
main_jif,level,joint,1,5,2,-9.045412454778878,-18.19147837445111,13.41560498309372,15.67913127452736,.2459531016468364,-43.98135431880571,7.598397569903486,21.96267454031565,1582,319,253,6.084290061164205,6.084290061164205,10.5365904899068,10.5365904899068
d_pubs_dest,level,joint,1,5,2,-.5035331530342921,-.7500776088320602,.3457613091191528,.3883749395259578,.0534430713080564,-1.388897536728391,-.1112576809357296,.6238532110091743,1582,338,267,6.512898635375019,6.512898635375019,12.86754692503452,12.86754692503452
coauths_count,level,joint,1,5,2,11.8782182473663,14.9033791087653,27.50525921059575,30.14839494237588,.6210702597318101,-34.68631765896711,64.4930758764977,36.00354609929078,1582,290,244,5.596586491435974,5.596586491435974,13.39612062087682,13.39612062087682
main,level,joint,2,5,2,1.227264445322704,1.673782832062441,2.41703461053905,2.776092392682281,.5465568282260513,-2.8924828087934,6.240048472918283,11.51417910447761,16080,1395,1246,3.067766586961495,3.067766586961495,5.893081494674509,5.893081494674509
main_jif,level,joint,2,5,2,-2.934170821123884,-3.011229914879608,3.351435377653734,3.846020001585313,.4336582218181088,-9.33736986381512,3.314910034055903,19.6487169984489,16080,1476,1289,3.235074357253186,3.235074357253186,5.840757691500899,5.840757691500899
d_pubs_dest,level,joint,2,5,2,.3429602267410248,.33348281207905,.1031848678598059,.1190402378766124,.0050876785355186,.137679045054538,.5292865791035619,.600291757840992,16080,1425,1260,3.131916897465206,3.131916897465206,6.005035155156123,6.005035155156123
coauths_count,level,joint,2,5,2,12.00352489654776,14.20108032687627,8.401870703241222,9.548438858566145,.1369442427075274,-1.504703961360633,29.90686461511318,33.98075646980757,16080,1556,1350,3.429373769724356,3.429373769724356,6.582103250357926,6.582103250357926
main,level,joint,3,5,2,-1.85673781649701,-2.305680671304463,3.8608454315553,4.717317049462674,.6250048970611042,-10.06497672959316,5.453615386984236,11.87412587412587,1073,150,97,3.709880183761548,3.709880183761548,6.174491944869399,6.174491944869399
main_jif,level,joint,3,5,2,31.43188852701015,31.84662004758891,4.608482036029915,5.481969535980781,6.27199332947e-09,22.82958257349344,40.86365752168437,22.60663828026029,1073,151,97,3.739054131256939,3.739054131256939,6.279644251364502,6.279644251364502
d_pubs_dest,level,joint,3,5,2,.3066137111324839,.3591199901508975,.2158150672760405,.2574606624850982,.1630599234682057,-.0643651143350453,.7826050946368401,.5680473372781065,1073,180,111,4.437574099132813,4.437574099132813,7.482475377637797,7.482475377637797
coauths_count,level,joint,3,5,2,7.89197983246989,3.123017577201694,20.9854341747306,24.42156983988544,.8982443527115049,-37.04689014978257,43.29292530418596,33.32367149758454,1073,218,139,5.49843376924288,5.49843376924288,9.534953760718221,9.534953760718221
main,level,joint,4,5,2,3.722976530516896,3.882397342054961,2.115193079455641,2.37319843304693,.1018532833206773,-.0211667080178337,7.785961392127756,11.9406528189911,11247,1389,1085,4.215737169129182,4.215737169129182,8.985046987901995,8.985046987901995
main_jif,level,joint,4,5,2,4.467917957341943,4.01348779316204,2.777550509277405,3.209597872761616,.2111299617724666,-1.265830908905636,9.292806495229716,20.79856948433397,11247,1667,1250,5.068730994505155,5.068730994505155,9.266700041611333,9.266700041611333
d_pubs_dest,level,joint,4,5,2,.3413872591057849,.3376633268782074,.0781559146302702,.0836757636551975,.0000545144852779,.2000289435420216,.4752977102143933,.60610806577917,11247,1315,1040,4.011648062397883,4.011648062397883,10.10293139406648,10.10293139406648
coauths_count,level,joint,4,5,2,.1550884587616174,-1.625367939463547,5.819131217074638,6.921082301882221,.8143305683274025,-13.00953526614416,9.758799387217072,33.95049504950495,11247,1867,1353,5.583133090432876,5.583133090432876,9.945906526136337,9.945906526136337
main_citrec,level,average,1,5,2,-6.451637108458383,-4.046543183009339,17.33860000661053,19.08072795741911,.8320486130943168,-35.43154776864453,27.33846140262585,741.5130493910917,40985,4237,3476,3.572441604487951,3.572441604487951,7.59607137421277,7.59607137421277
main_citrec,level,geography,1,5,2,-49.85092687695627,-54.68516076687786,22.64077179873585,26.34120709760253,.0378910900937363,-98.01259079964927,-11.35773073410646,736.3073869924149,24139,2766,2237,3.943909811278021,3.943909811278021,6.972440075024906,6.972440075024906
main_citrec,level,geography,2,5,2,39.38391334029242,46.04028604038162,23.70083102779011,25.34298367140629,.0692649502626576,4.354787430697044,87.7257846500662,754.3480100206442,16846,1582,1296,3.222921339968829,3.222921339968829,7.675775413403273,7.675775413403273
main_citrec,level,quality,1,5,2,117.4076260171127,186.5258051410972,146.7406603559058,164.9092893488117,.2580208952632643,-84.72583756228568,457.77744784448,818.4387491739697,2655,285,225,3.178807711509994,3.178807711509994,6.218100633175521,6.218100633175521
main_citrec,level,quality,2,5,2,-.6071839440129535,3.999055713494979,20.4474685609682,23.15573732752635,.862885211129892,-34.08874281442234,42.0868542414123,723.4907779819087,27327,2816,2368,3.616310615312002,3.616310615312002,6.819913226837462,6.819913226837462
main_citrec,level,joint,1,5,2,-105.5887763732856,-135.0476940335569,96.40174558475275,108.9302179654729,.2150629307004321,-314.2219581386794,44.1265700715656,836.7931202493999,1582,292,245,5.653418224654664,5.653418224654664,11.40947788629407,11.40947788629407
main_citrec,level,joint,2,5,2,-23.14448413286274,-25.05750469569178,24.38703925372698,27.95870960469612,.3701285919311602,-71.04548959385917,20.93048020247562,710.2521246370623,16080,2084,1663,4.449852930942233,4.449852930942233,8.385381022054858,8.385381022054858
main_citrec,level,joint,3,5,2,57.46028846251382,70.97665508913732,66.7617958930022,75.85865957526228,.3494568149903189,-53.79973624890989,195.7530464271845,806.0762007739077,1073,202,126,5.070175012704005,5.070175012704005,9.274723775694159,9.274723775694159
main_citrec,level,joint,4,5,2,3.893413674183114,.67502915463339,21.83350731353834,25.02748418486347,.9784824538338207,-40.49151898030991,41.84157728957669,752.2636471436962,11247,1913,1371,5.702354287912828,5.702354287912828,10.15671025740821,10.15671025740821
main_citrec,level,average,1,10,2,22.39170430195632,30.26832120783314,36.56552682218213,39.2827560562657,.4409888994850723,-34.34606256796543,94.88270498363171,1362.075124955185,40985,4177,3428,3.517721419829012,3.517721419829012,8.543341388667891,8.543341388667891
